Mod:Item:MetaData, Localized Name
minecraft:air, 空气
minecraft:stone:0, 石头
minecraft:stone:1, 花岗岩
minecraft:stone:2, 磨制花岗岩
minecraft:stone:3, 闪长岩
minecraft:stone:4, 磨制闪长岩
minecraft:stone:5, 安山岩
minecraft:stone:6, 磨制安山岩
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:1, 砂土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge:0, 海绵
minecraft:sponge:1, 湿海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 砂岩
minecraft:sandstone:1, 錾制砂岩
minecraft:sandstone:2, 平滑砂岩
minecraft:noteblock, 音符盒
minecraft:golden_rail, 推进轨道
minecraft:detector_rail, 木质探测器轨道
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
minecraft:wool:0, 白色羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 虞美人
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 砂岩台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
